Municipality,Percentage Smart Meters,Consumption per Contract
São Pedro do Sul,96,122467.6
Tabuaço,99,38246
Tarouca,99,109939.9
Tavira,88,813242.9
Terras de Bouro,99,55939.1
Tomar,86,431386.1
Tondela,75,219582
Torre de Moncorvo,98,66304.8
Torres Novas,90,1043521.2
Torres Vedras,91,945896.6
Trancoso,94,42856
Trofa,99,1466844.5
Tábua,66,107554.1
Vagos,97,467585.5
Vale de Cambra,95,553023
Valença,70,202539.7
Valongo,98,2454740.3
Valpaços,98,50772
Vendas Novas,98,912322.4
Viana do Alentejo,99,242513.1
Viana do Castelo,95,964504
Vidigueira,99,699794.2
Vieira do Minho,89,90148.9
Vila de Rei,97,120173.6
Vila do Bispo,79,351217.5
Vila do Conde,92,727075.9
Vila Flor,98,42438.3
Vila Franca de Xira,96,5774869.7
Vila Nova da Barquinha,99,206565.3
Vila Nova de Cerveira,96,206823.4
Vila Nova de Famalicão,99,1083310.5
Vila Nova de Foz Côa,92,48520.6
Vila Nova de Gaia,94,2950175.5
Vila Nova de Paiva,99,86440
Vila Nova de Poiares,72,212150.3
Vila Pouca de Aguiar,86,109607.6
Vila Real,97,314390.1
Vila Real de Santo António,84,1114938.8
Vila Velha de Ródão,98,1145985.1
Vila Verde,83,145718.8
Vila Viçosa,99,336178.6
Vimioso,92,35152.6
Vinhais,97,22492.3
Viseu,92,526001.2
Vizela,99,669589.6
Vouzela,95,117246.3
Águeda,99,1013185.1
Évora,99,1020190.8
Ílhavo,99,2089872.2
Óbidos,99,371573.9
